1,Timestamp,Org,Title / Role,Old Level,New Level,Location,Rating,Unvested RSUs,Old Base,Promoted?,New Base,Base Increase,RSU Grant,Bonus,Total YoE,YoE @ Apple,Details
48,9/21/2023 21:00:49,SEG,Hardware DV,ICT2,ICT3,SCV,8,"$30,000","$140,000",Y,"$159,000",11,"$90,000","$5,000",2,2,
49,9/21/2023 21:05:23,HWT,Hardware engineer,ICT4,ICT4,SCV,7,"$280,000","$188,000",N,"$196,000",4.5,"$130,000","$27,000",5,5,
50,9/21/2023 21:21:08,Services,Senior UI Eng,ICT4,ICT4,Vancouver,7,"$400,000","$185,000",N,"$189,000",0,"$100,000","$10,000",12,1,
51,9/21/2023 21:35:56,AIML,Software Engineer,ICT4,ICT4,SCV,8,"$300,000","$205,000",N,"$215,000",3.68,"$120,000","$24,000",11,5,
52,9/21/2023 22:03:26,HWT,HW Eng,ICT4,ICT4,SCV,7,"$580,000","$200,000",N,"$207,000",3.5,"$126,000","$22,500",12,1,
53,9/21/2023 22:21:03,HWE,EE,ICT4,ICT5,SCV,9,"$440,000","$190,000",Y,"$215,000",12,$265,$35,7,7,
54,9/21/2023 22:22:26,HWE,SWE,ICT5,ICT5,SCV,7,"$460,500","$220,450",N,"$227,400",3.3,"$180,000","$44,000",16,8,
55,9/21/2023 22:28:19,Hwt,Firmware wngineer,Ict4,Ict5,San Diego,9,"$491,000","$205,000",Y,"$220,000",8,"$280,000","$30,000",12,4,
56,9/22/2023 4:50:00,Finance,ICT3,ICT3,ICT3,Austin,6,"$80,000","$135,000",N,"$139,000",2.9,"$35,000","$7,000",9,1,
57,9/22/2023 5:28:14,SPG,SWE,ICT5,ICT5,SCV,8,"$800,000","$234,000",N,"$244,000",4,"$250,000","$58,000",10,9,
58,9/22/2023 6:50:22,HWT,Eng,ICT3,ICT3,SCV,7,"$220,000","$160,000",N,"$166,000",4,"$82,000","$15,000",4.5,2.5,
59,9/22/2023 7:27:53,Apple Pay,Software Engineer,Ict4,Ict4,Scv,8,"$44,500","$209,000",N,"$217,000",4.03,"$174,000","$33,500",11,7,
60,9/22/2023 7:46:06,HWT,Val,ICT3,ICT4,Non scv,8,"$200,000","$178,000",Y,"$190,000",3.5,"$150,000","$18,000",8,3,
61,9/22/2023 8:59:36,IST,Engineer,ICT5,ICT5,Non SCV,7,"$175,000","$185,000",N,"$193,000",4,"$120,000","$30,000",11,1,
62,9/22/2023 9:48:32,Services,ICT4,ICT4,ICT4,Austin,6,"$280,000","$183,500",N,"$192,000",4.63,"$110,000","$21,000",10,3,
63,9/22/2023 11:05:28,AIML,ML Engineer,ICT4,ICT4,SCV,7,"$296,000","$164,000",N,"$176,000",7,"$130,000","$20,000",3,3,
64,9/22/2023 11:40:20,HWE,Compliance Eng,ICT3,ICT3,Scv,9,"$175,000","$165,000",N,"$171,000",3.85,"$100,000","$21,000",7,2,
65,9/22/2023 12:57:49,HWT,Hardware engineer,ICT4,ICT4,SCV,8,"$300,000","$200,000",N,"$207,000",3.5,"$160,000","$40,000",4,4,
66,9/22/2023 13:19:26,HWT,Hardware Engineer,ICT3,ICT4,Austin,7,"$149,000","$150,000",Y,"$165,000",10,"$147,000","$18,000",3,3,
67,9/22/2023 13:26:09,Services,SWE,ICT5,ICT5,SCV,6,"$800,000","$250,000",N,"$258,000",3,"$150,000","$37,500",10,1,
68,9/22/2023 13:52:29,AIML,Staff ML engineer,ICT5,ICT5,SCV,7,"$540,000","$240,000",N,"$250,000",3,"$190,000","$40,000",15,5,
69,9/22/2023 14:50:51,HWT,Silicon Validation Engineer,ICT3,ICT3,Austin,7,"$192,000","$140,000",N,"$148,000",6,"$72,000","$14,000",7.5,1,
70,9/22/2023 14:56:13,Ad Platforms,Principle Engineer,ICT4,ICT4,Austin,8,"$210,000","$200,000",N,"$209,000",4.5,"$125,000","$22,000",14,5,
71,9/22/2023 16:37:18,HWT,ASIC Design engineer,ICT3,ICT3,SCV,6,"$120,000","$160,000",N,"$167,000",4,"$55,000","$12,000",2.5,2.5,
72,9/22/2023 16:54:03,Services,Software Engineer,ICT3,ICT4,SCV,8,"$141,459","$146,000",Y,"$172,000",17.55,"$180,000","$18,300",3,3,
73,9/22/2023 17:13:38,na,na,ICT5,ICT5,SCV,6,"$1,165,000","$250,000",N,"$258,000",3.2,"$117,000","$35,000",16,2,
74,9/22/2023 18:13:52,HWT,Hardware,Ict3,Ict3,Scv,7,"$170,000","$166,000",N,"$172,000",3.7,"$90,000","$18,000",3,3,
75,9/22/2023 19:31:37,IS&T,engineer,ict5,ict5,austin,6,"$370,000","$192,000",N,"$209,000",3.5,"$130,000","$26,000",10,2,
76,9/22/2023 20:00:31,AIML,Software engineer,ICT4,ICT5,SCV,9,"$290,000","$220,000",Y,"$230,000",10,"$270,000","$30,000",12,5,
77,9/22/2023 20:32:50,SPG,ML Engineer,ICT5,ICT5,SCV,8,"$470,000","$250,000",N,"$260,000",4,"$230,000","$60,000",16,4,
78,9/22/2023 21:42:22,HWT,SWE,ICT4,ICT5,Austin,9,"$300,000","$204,000",Y,"$217,000",6.5,"$220,000","$30,000",13,10,
79,9/23/2023 10:08:21,HWE,EE Manager,M3,D1,SCV,9,"$1,600,000","$320,000",Y,"$365,000",14,"$2,000,000","$125,000",25,18,
80,9/23/2023 11:25:41,ASE,Software Engineer,ICT3,ICT3,SG,7,"$146,000","$143,000",N,"$149,000",4.8,"$56,000","$14,000",5,2,
81,9/23/2023 14:12:21,Ops,TPM,IC4,IC4,SCV,8,"$315,000","$174,000",N,"$181,000",4,"$138,000","$25,000",7,5,
82,9/23/2023 16:42:34,HWE,SW Eng,ICT5,ICT5,SCV,8,"$500,000","$210,000",N,"$230,000",9,"$230,000","$45,000",12,2,
83,9/23/2023 17:58:53,HWE,EE,ICT4,ICT4,SCV,8,"$460,000","$196,000",N,"$202,900",3.52,"$120,000","$28,000",10,5,
84,9/23/2023 18:51:43,AIML,Software Engineer,ICT4,ICT5,SCV,8,"$600,000","$228,000",Y,"$250,000",10,"$250,000","$38,000",10,4,
85,9/23/2023 23:42:38,Hwt,Hardware Engineer,ICT5,ICT5,SCV,8,"$610,800","$259,700",N,"$269,500",4,"$20,000","$48,500",20,7,
86,9/24/2023 7:41:10,Swe,ICT5,ICT4,ICT5,SCV,8,"$400,000","$225,000",Y,"$240,000",6.6,"$250,000","$29,000",14,5,
87,9/24/2023 10:14:51,SEG,Software Engineer,ICT4,Ict5,SCV,9,"$380,000","$224,000",Y,"$240,000",6,"$240,000","$35,000",16,3,
88,9/24/2023 22:35:58,AIML,Machine Learning Engineer,ICT4,ICT5,Seattle,8,"$344,000","$221,000",Y,"$244,000",10,"$340,000","$33,000",6,6,
89,9/25/2023 0:10:11,AIML,Engineering Manager,M2,M2,SCV,8,"$900,000","$260,000",N,"$272,000",4.6,"$280,000","$58,000",15,5,
90,9/25/2023 13:58:13,Services,Software Engineer,ICT4,ICT4,SCV,6,"$325,000","$208,000",N,"$213,000",3,"$90,250","$20,500",9,6.5,
91,9/25/2023 15:55:50,HWE,TBD,ICT3,ICT4,SCV,8,"$140,000","$186,000",Y,"$200,000",2.9,"$160,000","$21,000",14,5,
92,9/25/2023 17:23:16,service,SWE,ICT4,ICT4,Seattle,6,"$543,000","$213,000",N,"$220,600",2.96,"$86,000","$21,300",10,1,
93,9/25/2023 17:53:02,Services,EPM,ICT4,ICT4,SCV,8,"$450,000","$230,000",N,"$228,000",3.5,"$130,000","$35,000",11,3,
94,9/25/2023 18:16:33,SWE,SWE,ICT4,ICT5,SCV,9,"$300,000","$223,000",Y,"$235,000",0.05,"$250,000","$35,000",15,5,
95,9/25/2023 19:19:46,SEG,ASIC Engineer,ICT4,ICT4,SCV,7,"$330,000","$195,000",N,"$202,000",3.5,"$110,000","$30,000",4,7,
96,9/25/2023 20:33:32,AIML,SWE,ICT4,ICT4,NYC,7,"$940,000","$215,000",N,"$222,500",3.5,"$109,000","$25,000",9,1,
97,9/25/2023 20:50:18,SWE,Eng,ICT4,ICT4,SCV,9,"$200,000","$191,500",N,"$200,000",4.54,"$168,000","$39,000",4.5,4.5,
98,9/26/2023 10:45:17,VPG,SWE,ICT3?,ICT3,EU,6,"$150,000","$95,120",N,"$99,940",5,$60,"$4,825",2.5,0.7,
99,9/26/2023 12:46:56,HWE,EPM,ICT4,ICT4,SCV,7,"$358,538","$210,000",N,"$215,880",2.8,"$110,000","$24,000",12,1,
100,9/26/2023 14:05:34,Maps,Senior Software Engineer,ICT4,ICT4,SCV,7,"$330,476","$204,000",N,"$211,000",3.41,"$116,000","$24,500",15,7,
101,9/26/2023 14:12:17,SWE,Senior Software Engineer,ICT4,ICT4,SCV,7,"$600,000","$205,000",N,"$212,000",3.7,"$160,000","$25,000",8,5,
102,9/26/2023 17:19:44,IsT,SWE,ICT4,ICT4,SCV,6,"$250,000","$180,000",N,"$185,000",3.3,"$102,000","$20,000",6,6,
103,9/26/2023 17:33:28,IS&T,Architect,ICT5,ICT5,Austin,7,"$300,000","$200,000",N,"$207,000",3.65,"$152,000","$39,000",16,1.2,
104,9/26/2023 20:02:06,HWT,Machine Learning Engineer,ICT4,ICT4,SCV,6,"$460,000","$187,000",N,"$199,000",6.4,"$225,000","$30,000",3,3,
105,9/26/2023 20:26:18,HWE,Hardware,ICT5,ICT5,SCV,7,"$370,000","$206,000",N,"$213,000",3.3,"$128,000","$38,000",15,3,
106,9/26/2023 20:53:35,HWT,Physical Design Eng,ICT3,ICT4,SCV,8,"$194,200","$165,000",Y,"$195,000",18.2,"$175,000","$20,000",5,5,
107,9/26/2023 21:56:29,Ops,OPM,IC4,IC4,SCV,7,"$170,000","$170,000",N,"$176,000",3.5,"$70,000","$10,000",10,1,
108,9/26/2023 21:57:25,HWT,Algorithms Engineer,ICT4,ICT4,SCV,7,"$347,000","$200,000",N,"$206,800",3.4,"$120,000","$31,000",9,6,
109,9/27/2023 7:26:14,Services,Software engineer,Ict4,Ict4,Boston,7,"$350,000","$220,000",N,"$227,000",3,"$94,000","$25,000",10,2,
110,9/27/2023 13:36:49,Services,software dev,ICT3,ICT3,Seattle,6,"$176,000","$145,000",N,"$153,700",6,"$75,000","$17,000",4,4,
111,9/27/2023 15:11:41,HWE,ENGINEERING,ICT5,ICT5,SCV,8,"$514,000","$212,000",N,"$220,000",3.68,"$184,000","$50,000",20,6,
112,9/27/2023 19:25:13,HWE,Hardware engineering,ICT4,ICT4,SCV,6,"$300,000","$180,000",N,"$185,000",2.88,"$90,000","$18,000",5.5,5.5,
113,9/27/2023 20:24:51,Seg,Soc design,Ict4,Ict4,Scv,6,"$280,000","$200,000",N,"$206,500",3.5,"$120,000","$19,000",9,5,
114,9/27/2023 21:55:23,ASE,Engineering Manager,ICT4,M1,SCV,7,"$520,000","$212,000",Y,"$220,000",4,"$135,000","$28,000",20,10,
115,9/27/2023 22:09:07,ASE,Software engineer,ICT4,ICT4,SCV,7,"$355,000","$222,000",N,"$230,000",3.5,"$140,000","$28,000",12,4,
116,9/27/2023 22:52:09,SWE,SDET,ICT2,ICT3,SCV,8,"$100,000","$130,000",Y,"$150,000",15,"$80,000",$0,1,1,
117,9/27/2023 23:18:44,Services,SWE,ICT3,ICT3,SCV,6,"$140,000","$165,000",N,"$170,000",3,"$55,000","$12,000",7,1,
118,9/27/2023 23:23:42,HWE,Systems HW,Ict4,Ict4,SoCal,8,"$250,000","$184,000",N,"$190,000",3,"$100,000","$20,000",9,6,
119,9/28/2023 0:09:27,SWE,Software Engineer,ICT2,ICT3,SD,8,"$65,000","$135,000",Y,"$152,000",12.4,"$72,000",$0,3,2,
120,9/28/2023 0:26:43,HWT,Hardware engineer,ICT2,ICT3,SCV,8,"$70,000","$149,000",Y,"$160,000",7.3,"$100,000","$15,000",3,3,
121,9/28/2023 0:27:16,HWT,SEG,ICT5,ICT5,Austin,6,"$440,000","$225,000",N,"$230,000",3,"$130,000","$32,000",13,4,
122,9/28/2023 0:58:54,Services,SWE,ICT4,ICT4,SCV,7,"$440,000","$195,000",N,"$203,000",4.4,"$130,000","$24,500",6,1,
123,9/28/2023 0:55:33,SPG,SWE,ICT4,ICT4,SCV,7,"$216,000","$216,000",N,"$222,000",3,"$95,000","$22,000",5,2,
124,9/28/2023 5:33:02,Services,Software Engineer/SWE,ICT4,ICT4,SCV,6,"$621,000","$217,000",N,"$223,750",2.98,"$100,000","$32,500",9,1.5,
125,9/28/2023 8:41:16,HWT,ASIC Design,ICT5,ICT5,SCV,7,"$650,000","$255,000",N,"$266,000",3.5,"$225,000","$55,000",17,5,
126,9/28/2023 10:03:39,HWT,System Architect,ICT5,ICT5,SCV,8,"$650,000","$258,000",N,"$268,000",3.8,"$215,000","$57,000",23,3,
127,9/28/2023 10:40:33,HWT,EE,ICT4,ICT4,SCV,7,"$176,000","$190,000",N,"$196,000",3.16,"$100,000","$25,000",11,1,
128,9/28/2023 13:29:29,SWE,Software Engineer,ICT2,ICT2,San Diego,7,"$95,000","$135,000",N,"$140,000",3.33,"$3,000",$0,3,1,
129,9/28/2023 14:50:02,Ops,Engineer,ICT3,ICT4,SCV,8,"$180,000","$150,000",Y,"$175,000",16,"$180,000","$20,000",4,4,
130,9/28/2023 15:16:55,Hwt,Ict4,Ict4,Ict4,Scv,6,"$360,000","$203,000",N,"$210,000",3.3,"$105,000","$21,000",10,5,
131,9/28/2023 15:24:00,ASE,DEV,ICT3,ICT4,Non-SCV,8,"$207,000","$172,000",Y,"$192,000",12,"$162,000","$21,000",6.5,2.5,
132,9/28/2023 16:48:29,Aiml,Swe,Ict4,Ict4,Seattle,6,"$690,000","$218,000",N,"$223,000",2.3,"$50,000","$12,500",8,0.8,
133,9/28/2023 16:50:00,Services,Software Engineer,ICT4,ICT4,SCV,7,"$950,000","$243,000",N,"$251,000",3.18,"$115,000","$29,000",15,1,
134,9/28/2023 18:01:48,SWE,SW Eng,ICT4,ICT4,SCV,8,"$418,000","$213,000",N,"$220,000",3.76,"$175,000","$30,000",14,5,
135,9/28/2023 19:09:56,HWT,SW Dev Eng 4,ICT4,ICT4,SCV,6,"$300,000","$189,000",N,"$195,000",3,"$100,000","$20,000",6,6,
136,9/28/2023 21:49:44,HWT,M2,M2,M2,SCV,8,"$580,000","$258,800",N,"$268,000",3.84,"$225,000","$60,000",21,6,
137,9/28/2023 22:14:36,Services,SWE,ICT4,ICT4,Seattle,7,"$240,000","$195,000",N,"$200,000",3.5,"$100,000","$24,000",5,2,
138,9/28/2023 22:17:37,ASE,EPM,ICT4,ICT4,SCV,8,"$245,000","$197,000",N,"$204,000",4,"$150,009","$32,000",20,2,
139,9/28/2023 22:47:56,VPG,SDE,ICT3,ICT3,SCV,7,"$110,000","$149,000",N,"$155,000",3.5,"$66,000","$11,000",4,1,
140,9/28/2023 22:48:33,SEG,Hardware,ICT4,ICT5,SCV,9,"$370,000","$205,000",Y,"$235,000",15,"$265,000","$33,000",13,7,
141,9/28/2023 22:49:57,AIML,MLE,ICT4,ICT4,Seattle,6,"$445,000","$205,000",N,"$209,000",1.95,"$94,000","$24,500",6,1,
142,9/29/2023 0:29:17,Ops,Ops,IC4,IC4,SCV,8,"$550,000","$185,000",N,"$189,000",3.6,"$250,000","$30,000",6,6,
143,9/29/2023 7:24:43,HWT,Verification Engineer,ICT3,ICT3,Austin,7,"$172,000","$151,000",N,"$156,000",3.15,"$80,000","$16,000",5.5,2.5,
144,9/29/2023 8:21:20,HWE,ICT4,ICT3,ICT4,SCV,8,"$203,826","$170,000",Y,"$187,114",10,"$190,000","$19,000",5,3,
145,9/29/2023 8:24:00,HWE,EE,ICT4,ICT4,SCV,8,"$453,000","$201,000",N,"$210,000",4.3,"$160,000","$30,000",8,4,
146,9/29/2023 10:53:26,HWT,SWQE,ICT2,ICT2,SCV,6,"$60,000","$132,000",N,"$137,000",3.4,"$13,000","$7,500",1.7,0.8,
147,9/29/2023 11:02:51,SWE,Software Quality Engineer,ICT2,ICT3,SCV,8,"$50,000","$130,000",Y,"$150,000",15,"$80,000",$0,1,1,
148,9/29/2023 12:23:25,SEG,Engineering Manager,M1,M1,SCV,7,"$350,000","$220,000",N,"$228,000",3.6,"$145,000","$40,000",10,8,
149,9/29/2023 13:36:47,HWT,Engineering Manager,M2,M2,SCV,9,"$715,000","$265,000",N,"$275,000",3.8,"$265,000","$63,000",19,7,
150,9/29/2023 14:52:22,Services,Software Engineer,ICT3,ICT4,SCV,9,"$236,000","$178,000",Y,"$204,000",14,"$180,000","$22,000",5,3,
151,9/29/2023 15:38:20,SEG,Firmware Engineer,ICT4,ICT4,Non-SCV,6,"$280,000","$176,400",N,"$182,000",3.2,"$88,000","$16,000",8,4,
152,9/29/2023 15:55:30,HWT,ICT4,ICT4,ICT4,SCV,8,"$280,000","$189,000",N,"$197,000",4,"$110,000","$25,000",6,6,
153,9/29/2023 17:45:25,IS&T,Sr ML Scientist,ICT3,ICT3,SCV,7,"$148,000","$185,000",N,"$190,500",3,"$76,000","$18,000",7,3.5,
154,9/29/2023 17:56:48,HWT,M1,M1,M1,SCV,8,"$450,000","$210,000",N,"$220,000",3.9,"$185,000","$40,000",5,5,
155,9/29/2023 18:50:44,AIML,SDET,ICT4,ICT4,SCV,8,"$385,000","$225,000",N,"$235,000",4,"$160,000","$35,000",15,9,
156,9/29/2023 18:55:24,Services,Dev,ICT4,ICT5,SCV,8,"$380,000","$229,000",Y,"$255,000",11.5,"$240,000","$35,000",17,3,
157,9/29/2023 19:03:38,HWE,Technician,ICT1,ICT1,Austin,8,"$60,000","$110,000",N,"$114,000",3.75,"$28,000","$5,000",6,4,
158,9/29/2023 20:24:52,HWY,HW engineer,ICT3,ICT3,Austin,6,"$200,000","$148,000",N,"$152,000",2.7,"$60,000","$15,000",4,3,
159,9/29/2023 20:47:00,HWT,DV,ICT4,ICT4,Austin,7,"$285,000","$191,000",N,"$196,000",3,"$110,000","$24,000",12,4,
160,9/29/2023 21:15:18,services,dev,ict4,ict4,scv,8,"$530,000","$232,000",N,"$240,000",4,"$140,000","$36,000",11,3,
161,9/29/2023 23:45:26,AIML,SDE,ICT4,ICT5,Seattle,8,"$290,000","$113,000",Y,"$134,000",8.5,"$240,000","$32,000",14,6,
162,9/30/2023 3:27:21,SWE,Software Engineer,ICT3,ICT3,Europe,6,"$170,000","$82,000",N,"$87,000",6,"$55,000","$6,000",2,2,
163,9/30/2023 8:40:05,SWE,SW,ICT5,ICT5,SCV,8,"$500,000","$235,000",N,"$245,000",4,"$210,000","$40,000",14,8,
164,9/30/2023 8:51:43,HWT,Design engineer,ICT3,iCT3,SCV,6,"$80,000","$161,000",N,"$166,000",3.3,"$65,000","$10,000",5,2,
165,9/30/2023 10:17:27,Servicss,Product Engineer,ICT4,ICT4,SCV,8,"$390,000","$190,000",N,"$205,000",9,"$165,000","$30,000",4,4,
166,9/30/2023 12:09:19,Services,Software Engineer,ICT3,ICT4,London,8,"$242,500","$114,700",Y,"$130,000",13,"$162,000","$14,400",5,1.5,
167,9/30/2023 13:13:00,AIML,Software Engineer,ICT4,ICT5,Seattle,9,"$420,000","$202,000",Y,"$215,000",7.8,"$240,000","$30,000",13,4,
168,9/30/2023 15:15:57,HWE,Mech Eng,ICT2,ICT2,SD,7,"$34,000","$120,000",N,"$124,500",3.75,"$10,000","$6,000",1,1,
169,9/30/2023 15:49:04,HWT,HW engineer,ICT5,ICT5,SCV,9,"$670,000","$244,000",N,"$254,000",4,"$250,000","$52,000",12,8,
170,9/30/2023 16:47:16,HWT,EE,ICT3,ICT3,San Diego,6,"$167,938","$175,000",N,"$180,000",2.86,"$52,000","$15,000",8,1,
171,9/30/2023 17:30:36,AIML,Eng Manager,M2,M2,SCV,7,"$743,006","$265,000",N,"$274,000",3.4,"$194,000","$50,800",13,5,
172,9/30/2023 17:36:53,IS&T,SWE,ICT3,ICT3,Austin,6,"$135,000","$146,000",N,"$150,000",2.74,"$60,000","$10,000",7,1,
173,9/30/2023 17:45:35,Marcom,Senior Producer,IC4,IC4,SCV,7,"$160,000","$158,000",N,"$164,000",4,"$80,000","$13,500",10,6,
